(75.9560546875, 267.6165466308594)
(79.24043273925781, 197.68505859375)
(79.65738677978516, 205.49210357666016)
(80.42839813232422, 182.29139709472656)
(81.31654357910156, 232.59291076660156)
(83.19648742675781, 200.43087768554688)
(83.64635467529297, 177.5210189819336)
(84.0667495727539, 269.9350929260254)
(84.60614013671875, 191.88600158691406)
(85.50968933105469, 239.1644630432129)
(85.68482208251953, 273.64206886291504)
(88.154052734375, 278.8720283508301)
(90.81388854980469, 190.3490753173828)
(90.81388854980469, 190.3490753173828)
(92.03968811035156, 280.29198837280273)
(92.33183288574219, 219.45153045654297)
(93.21393585205078, 172.95864868164062)
(94.57538604736328, 277.26252365112305)
(94.72929382324219, 190.77513122558594)
(94.9243392944336, 129.7501220703125)
(95.27981567382812, 129.40843200683594)
(96.80825805664062, 146.0243682861328)
(97.50283813476562, 215.78872680664062)
(97.50643920898438, 262.4286422729492)
(97.50643920898438, 262.4286422729492)
(98.5921859741211, 182.2040023803711)
(98.64511108398438, 277.86184883117676)
(98.70532989501953, 271.2340965270996)
(98.82384490966797, 172.34841918945312)
(99.41703033447266, 136.6371612548828)
(100.3455810546875, 270.3126621246338)
(100.49396514892578, 166.0767059326172)
(100.86447143554688, 288.27610969543457)
(101.15950775146484, 223.00233459472656)
(101.38475799560547, 275.48419761657715)
(101.87288665771484, 261.71345138549805)
(102.76404571533203, 179.09725952148438)
(105.30290222167969, 229.3366928100586)
(107.66683959960938, 286.5001964569092)
(107.71976470947266, 227.28885650634766)
(108.60040283203125, 146.90902709960938)
(108.65573120117188, 215.0889892578125)
(110.16757202148438, 213.67072296142578)
(110.36381530761719, 196.9600601196289)
(112.63958740234375, 277.890323638916)
(112.699951171875, 211.70388793945312)
(113.77081298828125, 290.8645267486572)
(115.61383056640625, 217.03191375732422)
(115.69385528564453, 260.04136657714844)
(116.27640533447266, 247.3487663269043)
(116.81028747558594, 169.9290008544922)
(117.89220428466797, 152.09292602539062)
(119.61067199707031, 162.50796508789062)
(120.59881591796875, 205.97306060791016)
(121.89634704589844, 208.96421813964844)
(122.0882568359375, 153.62327575683594)
(122.49530792236328, 216.06875610351562)
(122.96033477783203, 192.47319793701172)
(122.97511291503906, 289.7757034301758)
(123.09866333007812, 295.4249529838562)
(124.15254211425781, 167.0081787109375)
(124.72756958007812, 179.89071655273438)
(124.72756958007812, 179.89071655273438)
(125.12305450439453, 189.54561614990234)
(125.94508361816406, 284.69620418548584)
(126.42362213134766, 161.6278533935547)
(126.5865707397461, 197.97602081298828)
(128.2355194091797, 234.03404235839844)
(129.1770477294922, 129.2473907470703)
(129.87139892578125, 176.2924346923828)
(130.97122192382812, 157.68502807617188)
(133.64593505859375, 200.72954559326172)
(134.2334747314453, 124.47706604003906)
(134.82785034179688, 168.28024291992188)
(136.3528289794922, 149.37474060058594)
(136.3528289794922, 149.37474060058594)
(137.0585479736328, 162.6271209716797)
(137.9515380859375, 236.29215240478516)
(137.9515380859375, 236.29215240478516)
(138.39500427246094, 119.96574401855469)
(140.96502685546875, 278.2448272705078)
(141.8616943359375, 165.9781494140625)
(142.23255920410156, 194.70181274414062)
(143.32298278808594, 211.31105041503906)
(143.91354370117188, 161.96279907226562)
(145.40557861328125, 179.1509017944336)
(147.282470703125, 181.95528411865234)
(147.3948211669922, 291.82361221313477)
(149.601318359375, 192.240478515625)
(150.42784118652344, 166.9608917236328)
(150.79519653320312, 180.0783233642578)
(150.79519653320312, 180.0783233642578)
(154.1554718017578, 200.34173583984375)
(154.8899688720703, 158.92520141601562)
(155.74530029296875, 228.19671630859375)
(155.84417724609375, 206.05875396728516)
(156.2296600341797, 205.48790740966797)
(157.51925659179688, 164.38148498535156)
(158.3011016845703, 291.4479818344116)
(158.6310272216797, 169.0928955078125)
(158.6310272216797, 169.0928955078125)
(160.14450073242188, 279.3024559020996)
(160.5244598388672, 199.06168365478516)
(163.3916778564453, 199.17962646484375)
(163.63438415527344, 173.50209045410156)
(164.1096954345703, 242.86017227172852)
(164.12240600585938, 236.92330169677734)
(165.03831481933594, 197.1457061767578)
(165.6178741455078, 222.92098236083984)
(167.1748809814453, 147.4874267578125)
(167.6714324951172, 179.10492706298828)
(168.3810577392578, 233.30498504638672)
(168.3810577392578, 233.30498504638672)
(168.4498291015625, 186.0591812133789)
(168.57420349121094, 215.22516632080078)
(168.82228088378906, 163.82029724121094)
(169.05604553222656, 182.11590576171875)
(169.45327758789062, 238.3639030456543)
(170.15513610839844, 220.61544799804688)
(171.52340698242188, 179.75405883789062)
(171.94834899902344, 225.38520050048828)
(172.85665893554688, 207.74615478515625)
(173.7963409423828, 129.21083068847656)
(173.99942016601562, 236.99504470825195)
(174.8778839111328, 165.81419372558594)
(174.9220428466797, 242.0239715576172)
(175.95361328125, 230.930419921875)
(177.4971160888672, 183.1995391845703)
(177.806884765625, 163.5032196044922)
(177.806884765625, 163.5032196044922)
(179.89163208007812, 163.99710083007812)
(180.14381408691406, 149.59393310546875)
(181.527587890625, 185.93540954589844)
(181.527587890625, 185.93540954589844)
(182.2602081298828, 243.10101699829102)
(185.98904418945312, 126.780029296875)
(186.27099609375, 152.83612060546875)
(186.488525390625, 152.11172485351562)
(186.87008666992188, 226.50447845458984)
(187.42404174804688, 191.45003509521484)
(189.8016815185547, 207.6099853515625)
(189.8016815185547, 207.6099853515625)
(190.32891845703125, 145.3111572265625)
(190.5222930908203, 220.2283706665039)
(190.79791259765625, 200.2295379638672)
(191.10833740234375, 212.10540771484375)
(191.40228271484375, 183.3955535888672)
(193.3363800048828, 196.5562515258789)
(194.0889129638672, 217.03185272216797)
(194.30084228515625, 212.98512268066406)
(194.30084228515625, 212.98512268066406)
(197.15884399414062, 220.49862670898438)
(198.72329711914062, 217.9781265258789)
(199.1184539794922, 217.7050552368164)
